id	миротряд	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	origin_confedence	debug
1		SCANDENTIA						Tupaildae	Ptilocercinae	Eodendrogale parvum	Китай	asia	44.9	42.7			
2		SCANDENTIA						Tupaildae	Ptilocercinae	—			0	0	1	0.5	
3		SCANDENTIA						Tupaildae	Tupaiinae	Tupaia miocenica	Таиланд	asia	17.9	16.8			
4		SCANDENTIA	HAPLORRHINI					Tupaildae	Tupaiinae	Tupaia sivalicus	Индия	asia	9.9	8.8			
5		SCANDENTIA	HAPLORRHINI					Tupaildae	Tupaiinae	Prodendrogale yunnanica	Китай	asia	6.8	5.6			
6		SCANDENTIA	HAPLORRHINI					Tupaildae	Tupaiinae	—			0	0			
7		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Mixodectidae	—	—	США	n_america	66	60.2			
8		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Placentidentidae	—	—	Франция	europe	53.1	51			
9		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium sp.	Бирма	asia	38.8	37.4			
10		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium major	Таиланд	asia	36.5	34.3	9	0.5	
11		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium chimaera	Пакистан	asia	32.2	30.1	10	0.5	
12		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium chimaera	Таиланд	asia	26.8	24.7	11	0.5	
13		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	—			0	0	11	0.5	
14		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	incertae sedis	—	США	n_america	64.4	60.2			
15		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	—	США, Канада	n_america	57.2	50			
16		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Thylacaelurinae	—	Канада	n_america	36.8	35.5	15	0.5	
17		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	—	Таиланд	asia	34.78	33.73			debug761
18		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	—	США	n_america	28	26	17	0.5	debug739
20	PRIMATOMORPHA	INCERTAE SEDIS	HAPLORRHINI					Purgatoriidae			США	n_america	66	64			
21	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				 PLESIADAPOIDEA	Adapisoriculidae				europe	66	55			
22	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				 PLESIADAPOIDEA	Adapisoriculidae			Северная Африка	africa	66	55			
23	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Adapisoriculidae			Индия	asia	66	55			
24	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	 Asioplesiadapinae		Китай	asia	53	51			
29	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Европа	europe	66	51			
30	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Северная Америка	n_america	66	51			
31	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Пакистан	asia	66	51			
32	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Saxonellidae			Канада	s_america	58	56.3			
33	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Saxonellidae			Германия	europe	58	56.3			
34	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Carpolestinae		Китай	asia	64.1	53.9			
35	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Carpolestinae		Северная_Америка	n_america	64.1	53.9			
36	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Chronolestinae		Китай	asia	53.1	51			
37	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Parvocristinae		Пакистан	asia	48.9	47.3			
38	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PAROMOMYOIDEA	Paromomyidae	Paromomyinae		США	n_america	60.7	59.2			
39	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PAROMOMYOIDEA	Paromomyidae	Phenacolemurinae 		Северная_Америка	n_america	58	43.8			
40	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PAROMOMYOIDEA	Paromomyidae	Phenacolemurinae 		Европа	europe	58	43.8			
41	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				MICROSYOPOIDE	Microsyopidae	Microsyopinae		США	n_america	56.5	42			
42	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				MICROSYOPOIDE	Microsyopidae	Uintasoricinae		США	n_america	59.5	38			
43	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	Toliapinidae			Европа	europe	60	44.2			
44	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	Toliapinidae			Марокко	africa	60	44.2			
45	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	Toliapinidae			Пакистан	asia	60	44.2			
46	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	 Palaechthonidae	 Plesiolestinae		США	n_america	64.2	56.9			
47	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	 Palaechthonidae	 Palaechthoninae 		США	n_america	64	57			
48	PRIMATOMORPHA		HAPLORRHINI				 INCERTAE SEDIS	 Micromomyidae	 Micromomyinae      Северная Аерика	n_america	56.5	53
49	PRIMATOMORPHA		HAPLORRHINI				INCERTAE SEDIS	Micromomyidae	Tinimomyinae		США	n_america	57.2	53			
50	PRIMATOMORPHA		HAPLORRHINI				INCERTAE SEDIS	 Picrodontidae			Северная Аерика	n_america	61.5	56.2			
51	PRIMATOMORPHA		HAPLORRHINI				INCERTAE SEDIS	 Picromomyidae			Северная Аерика	n_america	55.8	46			
52	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI					incertae sedis		Petrolemur brevirostre	Китай	asia	58.2	56.2			
53	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			 Notharctidae	 Asiadapinae		Индия	asia	52.5	53.5			
