id	миротряд	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	origin_confedence	debug
47	PRIMATOMORPHA						 MICROSYOPOIDEA	 Palaechthonidae	 Palaechthoninae 		США	n_america	64	57			
48	PRIMATOMORPHA						 INCERTAE SEDIS	 Micromomyidae	 Micromomyinae		Северная Аерика	n_america	56.5	53			
49	PRIMATOMORPHA						INCERTAE SEDIS	Micromomyidae	Tinimomyinae		США	n_america	57.2	53			
50	PRIMATOMORPHA						INCERTAE SEDIS	 Picrodontidae			Северная Аерика	n_america	61.5	56.2			
51	PRIMATOMORPHA							 Picromomyidae			Северная Аерика	n_america	55.8	46			
52	PRIMATOMORPHA							incertae sedis		Petrolemur brevirostre	Китай	asia	58.2	56.2			
53	PRIMATOMORPHA				 ADAPIFORMES			 Notharctidae	 Asiadapinae		Индия	asia	52.5	53.5			
54	PRIMATOMORPHA				 ADAPIFORMES			 Notharctidae	 Caenopithecinae		Швейцария	europe	47.8	37			
55	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	 Caenopithecinae		Египет	africa	47.8	37			
56	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	 Cercamoniinae 		Северная Аерика	s_america	53.5	33.9			
57	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	Cercamoniinae 		Европа	europe	53.5	33.9			
58	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	Cercamoniinae 		Египет	africa	53.5	33.9			
59	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	Cercamoniinae 		Оман	asia	53.5	33.9			
60	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	Cercamoniinae 		Пакистан	asia	53.5	33.9			
61	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	Cercamoniinae 		Китай	asia	53.5	33.9			
62	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	 Notharctinae		Северная Аерика	n_america	55.2	39.1			
63	PRIMATOMORPHA				ADAPIFORMES			 Notharctidae	 Notharctinae		Европа	europe	55.2	39.1			
64	PRIMATOMORPHA				ADAPIFORMES			Sivaladapidae			Пакистан	asia	37.7	7.8			
65	PRIMATOMORPHA				ADAPIFORMES			Sivaladapidae			Индия	asia	37.7	7.8			
66	PRIMATOMORPHA				ADAPIFORMES			Sivaladapidae			Таиланд	asia	37.7	7.8			
67	PRIMATOMORPHA				ADAPIFORMES			Sivaladapidae			Бирма	asia	37.7	7.8			
