id	mirorder	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	debug
50	PRIMATOMORPHA	PLESIADAPIFORMES					INCERTAE SEDIS	Picrodontidae			Северная Аерика	n_america	61.5	56.2
51	PRIMATOMORPHA	PLESIADAPIFORMES					INCERTAE SEDIS	Picromomyidae			Северная Аерика	n_america	55.8	46
52	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI					incertae sedis		Petrolemur brevirostre	Китай	asia	58.2	56.2
53	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Asiadapinae		Индия	asia	52.5	53.5
54	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Caenopithecinae		Швейцария	europe	47.8	37
55	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Caenopithecinae		Египет	africa	47.8	37
56	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Cercamoniinae		Северная Аерика	s_america	53.5	33.9	47
57	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Cercamoniinae		Европа	europe	53.5	33.9	47
58	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Cercamoniinae		Египет	africa	53.5	33.9	47
59	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Cercamoniinae		Оман	asia	53.5	33.9	47
60	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Cercamoniinae		Пакистан	asia	53.5	33.9	47
61	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Cercamoniinae		Китай	asia	53.5	33.9	47
62	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Notharctinae		Северная Африка	n_america	55.2	39.1
63	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Notharctidae	Notharctinae		Европа	europe	55.2	39.1
64	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Sivaladapidae (или подсем. Sivaladapinae сем. Adapidae)			Пакистан	asia	37.7	7.8
65	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Sivaladapidae (или подсем. Sivaladapinae сем. Adapidae)			Индия	asia	37.7	7.8
66	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Sivaladapidae (или подсем. Sivaladapinae сем. Adapidae)			Таиланд	asia	37.7	7.8
67	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Sivaladapidae (или подсем. Sivaladapinae сем. Adapidae)			Бирма	asia	37.7	7.8
72	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Lemuridae	Lemurinae		Мадагаскар	africa	0	0
73	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Lemuridae	Hapalemurinae		Мадагаскар	africa	0	0
74	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Indriidae (= надсем. Indrioidea)	Archaeolemurinae (= сем. Archaeolemuridae		Мадагаскар	africa	0	0
76	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Indriidae (= надсем. Indrioidea)	Indriinae		Мадааскар	africa	0	0
77	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Indriidae (= надсем. Indrioidea)	Archaeolemurinae		Мадагаскар	africa	0	0
78	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Indriidae (= надсем. Indrioidea)	Palaeopropithecinae (= сем. Palaeopropithecidae)		Мадагаскар	africa	0	0
79	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Azibiidae			Северная Африка	africa	51.8	34.8
80	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Adapidae	Adapinae		Европа	europe	45.1	35.9	56
81	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Adapidae	Adapinae		Китай	asia	45.1	35.9	56
82	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Adapidae	Djebelemurinae		Северная Африка	africa	50.4	49.8	56
83	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES			Adapidae	Djebelemurinae		Северная Африка	africa	33.8	35	56
85	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		CHEIROGALEOIDEA	Cheirogaleidae	Cheirogaleinae		Мадагаскар	africa	0	0
87	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		CHEIROGALEOIDEA	Cheirogaleidae	Cheirogaleinae	Bugtilemur mathesoni	Пакистан	asia	32.3	30.1
1087	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		CHEIROGALEOIDEA	Cheirogaleidae	Phanerinae		Мадагаскар	africa	0	0
86	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae		Африка	africa	0	0
88	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	incertae sedis		Chasselasia eldredgei	Швейцария	europe	46.5	43.4	82
89	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Saharagalago misrensis	Египет	africa	41.2	35.2	88
90	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	11.2	10
91	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	5.2	3.2
92	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	2.2	1.2
93	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Kombinae		Кения	africa	20.1	15
94	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Kombinae		Уганда	africa	20.1	15
